Wersja;Data;Mediana
10.1.33;Nov 11, 2024;8,1
10.1.31;Oct 09, 2024;8,1
10.1.30;Sep 17, 2024;7,3
10.1.29;Sep 10, 2024;8,1
10.1.28;Aug 06, 2024;8,1
10.1.26;Jul 12, 2024;8,1
10.1.25;Jun 19, 2024;8,1
10.1.24;May 13, 2024;8,1
10.1.23;Apr 23, 2024;8,1
10.1.20;Mar 26, 2024;8,1
10.1.19;Feb 19, 2024;8,1
10.1.18;Jan 09, 2024;7,8
10.1.17;Dec 12, 2023;7,8
10.1.16;Nov 15, 2023;7,8
10.1.15;Oct 16, 2023;7,5
10.1.14;Oct 10, 2023;7,5
10.1.13;Aug 25, 2023;7,5
10.1.12;Aug 14, 2023;7,5
10.1.11;Jul 10, 2023;7,5
10.1.10;Jun 12, 2023;7,5
10.1.9;May 20, 2023;7,5
10.1.8;Apr 19, 2023;7,5
10.1.7;Mar 04, 2023;7,5
10.1.6;Feb 24, 2023;7,5
10.1.5;Jan 13, 2023;7,5
10.1.4;Dec 05, 2022;7,5
10.1.2;Nov 14, 2022;7,5
10.1.1;Oct 11, 2022;7,5
10.1.0;Sep 26, 2022;7,5
10.0.27;Oct 10, 2022;7,5
10.0.26;Sep 27, 2022;6,15
10.0.23;Jul 26, 2022;6,15
10.0.22;Jun 11, 2022;6,15
10.0.21;May 16, 2022;6,15
10.0.20;Apr 02, 2022;6,15
10.0.18;Mar 14, 2022;6,15
10.0.17;Feb 28, 2022;6,15
10.0.16;Jan 20, 2022;6,15
10.0.14;Dec 08, 2021;6,15
10.0.13;Nov 15, 2021;6,15
10.0.12;Oct 01, 2021;6,15
10.0.11;Sep 10, 2021;6,15
10.0.10;Aug 05, 2021;6,15
10.0.8;Jul 05, 2021;6,15
10.0.7;Jun 15, 2021;6,15
10.0.6;May 13, 2021;6,15
10.0.5;Apr 06, 2021;6,15
10.0.4;Mar 10, 2021;6,15
10.0.2;Feb 02, 2021;6,15
10.0.0;Dec 08, 2020;7,25
9.0.97;Dec 09, 2024;8,1
9.0.96;Nov 09, 2024;8,1
9.0.95;Oct 08, 2024;8,1
9.0.94;Sep 17, 2024;8,1
9.0.93;Sep 10, 2024;8,1
9.0.91;Aug 06, 2024;8,1
9.0.90;Jul 08, 2024;8,1
9.0.89;Jun 19, 2024;8,1
9.0.88;May 07, 2024;8,1
9.0.87;Apr 16, 2024;8,1
9.0.86;Mar 15, 2024;8,1
9.0.85;Feb 19, 2024;7,8
9.0.84;Jan 09, 2024;7,8
9.0.83;Dec 12, 2023;7,8
9.0.82;Nov 15, 2023;7,5
9.0.81;Oct 13, 2023;7,5
9.0.80;Oct 10, 2023;7,5
9.0.79;Aug 25, 2023;7,5
9.0.78;Aug 15, 2023;7,5
9.0.77;Jul 10, 2023;7,5
9.0.76;Jun 09, 2023;7,5
9.0.75;May 10, 2023;7,5
9.0.74;Apr 18, 2023;7,5
9.0.73;Mar 03, 2023;7,5
9.0.72;Feb 23, 2023;7,5
9.0.71;Jan 13, 2023;7,5
9.0.70;Dec 01, 2022;7,5
9.0.69;Nov 14, 2022;7,5
9.0.68;Oct 07, 2022;7,5
9.0.67;Sep 26, 2022;7,5
9.0.65;Jul 20, 2022;7,5
9.0.64;Jun 09, 2022;7,5
9.0.63;May 16, 2022;7,5
9.0.62;Apr 02, 2022;7,5
9.0.60;Mar 14, 2022;7,5
9.0.59;Feb 28, 2022;7,5
9.0.58;Jan 20, 2022;7,5
9.0.56;Dec 08, 2021;7,5
9.0.55;Nov 15, 2021;7,5
9.0.54;Oct 02, 2021;7,5
9.0.53;Sep 10, 2021;7,5
9.0.52;Aug 06, 2021;7,5
9.0.50;Jul 02, 2021;7,5
9.0.48;Jun 15, 2021;7,5
9.0.46;May 13, 2021;7,5
9.0.45;Apr 06, 2021;7,5
9.0.44;Mar 10, 2021;7,5
9.0.43;Feb 02, 2021;7,5
9.0.41;Dec 08, 2020;7,5
9.0.40;Nov 17, 2020;7,5
9.0.39;Oct 09, 2020;7,25
9.0.38;Sep 15, 2020;7,25
9.0.37;Jul 05, 2020;7,25
9.0.36;Jun 07, 2020;7,25
9.0.35;May 11, 2020;7,25
9.0.34;Apr 08, 2020;7,25
9.0.33;Mar 16, 2020;7,25
9.0.31;Feb 11, 2020;7,25
9.0.30;Dec 07, 2019;7
9.0.29;Nov 16, 2019;7,25
9.0.27;Oct 07, 2019;7,45
9.0.26;Sep 16, 2019;7,45
9.0.24;Aug 17, 2019;7,45
9.0.22;Jul 09, 2019;7,45
9.0.21;Jun 08, 2019;7,45
9.0.20;May 15, 2019;7,45
9.0.19;Apr 14, 2019;7,4
9.0.17;Mar 19, 2019;7,4
9.0.16;Feb 08, 2019;7
9.0.14;Dec 12, 2018;7,2
9.0.13;Nov 02, 2018;7,2
9.0.12;Sep 10, 2018;7,2
9.0.11;Aug 11, 2018;7
9.0.10;Jun 20, 2018;7
9.0.8;Apr 27, 2018;6,75
9.0.7;Apr 03, 2018;7
9.0.6;Mar 05, 2018;7
9.0.5;Feb 06, 2018;7
9.0.4;Jan 18, 2018;6,5
9.0.2;Nov 25, 2017;6,5
9.0.1;Sep 27, 2017;6,5
8.5.98;Jan 09, 2024;7,5
8.5.97;Dec 12, 2023;7,5
8.5.96;Nov 15, 2023;7,5
8.5.95;Oct 16, 2023;7,5
8.5.94;Oct 10, 2023;7,5
8.5.93;Aug 25, 2023;7,5
8.5.92;Aug 14, 2023;6,8
8.5.91;Jul 10, 2023;6,8
8.5.90;Jun 12, 2023;6,8
8.5.89;May 20, 2023;6,8
8.5.88;Apr 19, 2023;6,8
8.5.87;Mar 04, 2023;6,5
8.5.86;Feb 24, 2023;6,5
8.5.85;Jan 19, 2023;6,5
8.5.84;Nov 22, 2022;6,8
8.5.83;Oct 11, 2022;7,5
8.5.82;Aug 13, 2022;6,1
8.5.81;Jun 11, 2022;6,1
8.5.79;May 24, 2022;6,1
8.5.78;Apr 02, 2022;6,1
8.5.77;Mar 17, 2022;6,1
8.5.76;Mar 01, 2022;6,1
8.5.75;Jan 20, 2022;6,1
8.5.73;Nov 17, 2021;6,1
8.5.72;Oct 06, 2021;6,1
8.5.71;Sep 13, 2021;6,1
8.5.70;Aug 16, 2021;6,1
8.5.69;Jul 05, 2021;6,1
8.5.68;Jun 16, 2021;6,1
8.5.66;May 13, 2021;6,1
8.5.65;Apr 06, 2021;6,1
8.5.64;Mar 10, 2021;6,1
8.5.63;Feb 03, 2021;5,7
8.5.61;Dec 08, 2020;6,1
8.5.60;Nov 17, 2020;6,55
8.5.59;Oct 09, 2020;6,1
8.5.58;Sep 15, 2020;6,1
8.5.57;Jul 05, 2020;6,1
8.5.56;Jun 07, 2020;6,1
8.5.55;May 11, 2020;6,1
8.5.54;Apr 08, 2020;6,1
8.5.53;Mar 16, 2020;6,1
8.5.51;Feb 11, 2020;6,1
8.5.50;Dec 07, 2019;6
8.5.49;Nov 17, 2019;6,1
8.5.47;Oct 12, 2019;7
8.5.46;Sep 16, 2019;7
8.5.45;Aug 21, 2019;7
8.5.43;Jul 09, 2019;7
8.5.42;Jun 08, 2019;7
8.5.41;May 15, 2019;7
8.5.40;Apr 12, 2019;6,55
8.5.39;Mar 20, 2019;6
8.5.38;Feb 08, 2019;6
8.5.37;Dec 18, 2018;6,1
8.5.35;Nov 08, 2018;6,1
8.5.34;Sep 10, 2018;6,1
8.5.33;Aug 12, 2018;6
8.5.32;Jun 20, 2018;6
8.5.31;Apr 27, 2018;5,9
8.5.30;Apr 03, 2018;6
8.5.29;Mar 05, 2018;6
8.5.28;Feb 06, 2018;6
8.5.27;Jan 18, 2018;6
8.5.24;Nov 27, 2017;6
8.5.23;Sep 28, 2017;6
8.5.21;Sep 13, 2017;6
8.5.20;Aug 02, 2017;6
8.5.19;Jul 24, 2017;6
8.5.16;Jun 21, 2017;6
8.5.15;May 05, 2017;6
8.5.14;Apr 13, 2017;6
8.5.13;Mar 27, 2017;6
8.5.12;Mar 08, 2017;6
8.5.11;Jan 10, 2017;6
8.5.9;Dec 05, 2016;6
8.5.8;Nov 03, 2016;6
8.5.6;Oct 06, 2016;6,1
8.5.5;Aug 31, 2016;6,1
8.5.4;Jul 06, 2016;6
8.5.3;Jun 09, 2016;6
8.5.2;May 11, 2016;6
8.5.0;Mar 17, 2016;6
8.0.53;Jun 29, 2018;7,2
8.0.52;Apr 28, 2018;6,45
8.0.51;Apr 09, 2018;6,45
8.0.50;Feb 07, 2018;6,75
8.0.49;Jan 19, 2018;6,75
8.0.48;Nov 30, 2017;6,75
8.0.47;Sep 29, 2017;6,75
8.0.46;Aug 10, 2017;6,75
8.0.45;Jun 26, 2017;6,75
8.0.44;May 10, 2017;6,75
8.0.43;Mar 28, 2017;6,75
8.0.42;Mar 08, 2017;6,75
8.0.41;Jan 18, 2017;6,5
8.0.39;Nov 09, 2016;6,5
8.0.38;Oct 06, 2016;6,5
8.0.37;Sep 01, 2016;6,5
8.0.36;Jun 09, 2016;6,5
8.0.35;May 11, 2016;6,5
8.0.33;Mar 18, 2016;6,5
8.0.32;Feb 02, 2016;6,5
8.0.30;Dec 01, 2015;6,5
8.0.29;Nov 20, 2015;6,5
8.0.28;Oct 07, 2015;6,5
8.0.27;Sep 28, 2015;6,5
8.0.26;Aug 18, 2015;6,5
8.0.24;Jul 01, 2015;6,5
8.0.24;May 19, 2015;6,5
8.0.22;Apr 29, 2015;6,5
8.0.21;Mar 23, 2015;6,5
8.0.20;Feb 15, 2015;6,5
8.0.18;Jan 23, 2015;6,5
8.0.17;Jan 09, 2015;6,5
8.0.15;Nov 02, 2014;6,5
8.0.14;Sep 24, 2014;6,5
8.0.12;Aug 29, 2014;6,5
8.0.11;Aug 15, 2014;6,5
8.0.9;Jun 19, 2014;6,5
8.0.8;May 16, 2014;6,5
8.0.5;Mar 24, 2014;6,5
8.0.3;Feb 07, 2014;6,2
8.0.1;Jan 29, 2014;6,2
7.0.106;Sep 20, 2020;6,45
7.0.105;Jul 07, 2020;6,45
7.0.104;May 16, 2020;6,45
7.0.103;Mar 19, 2020;6,45
7.0.100;Feb 14, 2020;6,45
7.0.99;Dec 11, 2019;5,9
7.0.96;Jul 29, 2019;7,2
7.0.94;Apr 12, 2019;7,2
7.0.93;Feb 21, 2019;6,45
7.0.92;Nov 15, 2018;6,45
7.0.91;Sep 19, 2018;6,45
7.0.90;Jul 02, 2018;5,9
7.0.88;May 07, 2018;5,9
7.0.86;Apr 09, 2018;5,9
7.0.85;Feb 07, 2018;5,9
7.0.84;Jan 19, 2018;5,9
7.0.82;Sep 29, 2017;5,9
7.0.81;Aug 11, 2017;5,9
7.0.79;Jun 26, 2017;5,9
7.0.78;May 10, 2017;5,9
7.0.77;Mar 28, 2017;5,9
7.0.76;Mar 09, 2017;5,9
7.0.75;Jan 18, 2017;5,9
7.0.73;Nov 07, 2016;5,9
7.0.72;Sep 14, 2016;5,9
7.0.70;Jun 15, 2016;5,9
7.0.69;Apr 11, 2016;5,9
7.0.68;Feb 08, 2016;5,9
7.0.67;Dec 07, 2015;5,9
7.0.65;Oct 09, 2015;5,9
7.0.64;Aug 19, 2015;5,9
7.0.63;Jun 30, 2015;5,9
7.0.62;May 07, 2015;5,9
7.0.61;Mar 27, 2015;5,9
7.0.59;Jan 28, 2015;5,9
7.0.57;Nov 03, 2014;5,9
7.0.56;Sep 28, 2014;5,9
7.0.55;Jul 18, 2014;5,9
7.0.54;May 20, 2014;5,9
7.0.53;Mar 25, 2014;5,9
7.0.52;Feb 13, 2014;5,9
7.0.50;Dec 19, 2013;5,9
7.0.47;Oct 18, 2013;5,9
7.0.42;Jul 02, 2013;5,9
7.0.41;Jun 06, 2013;5,9
7.0.40;May 05, 2013;5,9
7.0.39;Mar 22, 2013;5,9
7.0.37;Feb 12, 2013;5,9
7.0.35;Jan 10, 2013;5,9
7.0.34;Dec 04, 2012;6,2
7.0.33;Nov 18, 2012;6,2
7.0.32;Oct 03, 2012;6,2
7.0.30;Sep 02, 2012;6,2
7.0.29;Jul 03, 2012;6,2
7.0.28;Jun 15, 2012;6,2
7.0.27;Mar 31, 2012;5,9
7.0.26;Feb 17, 2012;5,9
7.0.25;Jan 17, 2012;5,9
7.0.23;Nov 24, 2011;5,9
7.0.22;Oct 10, 2011;6,2
7.0.21;Sep 01, 2011;6,2
7.0.20;Aug 16, 2011;6,2
7.0.19;Jul 25, 2011;6,2
7.0.16;Jun 17, 2011;6,2
7.0.14;May 12, 2011;6,2
7.0.12;Apr 17, 2011;6,2
7.0.11;Mar 12, 2011;6,2
7.0.8;Feb 16, 2011;6,2
7.0.6;Jan 17, 2011;6,2
7.0.5;Dec 02, 2010;6,2
7.0.4;Oct 26, 2010;6,2
7.0.2;Aug 22, 2010;6,2
7.0.0;Jul 12, 2010;6,2
